code,count
N183,72
E1191,64
D62,50
E871,45
U804,35
E440,31
J91,30
J9600,29
I5001,25
F102,24
F058,24
D684,22
G819,21
R18,20
L8914,20
E43,19
D508,17
N184,16
I693,16
A099,16
B370,15
B952,15
C772,14
G2090,14
B965,13
E1140,13
J9580,13
C795,13
I1100,13
J90,13
K521,12
N182,12
K564,12
I652,11
R470,11
I653,11
C787,11
R64,11
N1793,11
R650,11
D6833,11
T828,10
I5013,10
J9610,10
J189,10
I4288,10
K746,10
I361,10
I420,9
G8229,9
I743,9
E870,9
B956,9
C771,9
E891,9
R31,8
T842,8
E1173,7
I513,7
J4481,7
T810,7
C780,7
F101,7
R15,7
R471,7
I352,7
I5014,6
I350,6
J4409,6
E876,6
F132,6
A419,6
C782,6
I982,5
G632,5
D689,5
E6682,5
O990,5
F009,5
I429,5
K913,5
D6110,5
U6912,5
D630,5
C775,5
L97,5
Z223,5
B9548,5
K922,5
E441,4
I483,4
I484,4
K703,4
I81,4
G309,4
B957,4
B962,4
D6822,4
C187,4
F023,4
F339,4
K650,4
N133,4
E6692,4
C7982,4
C786,4
F051,4
I691,4
J9601,4
G530,4
D6959,4
B022,4
D688,4
L8917,4
D6961,4
D706,4
F019,4
K8010,4
I471,4
F103,3
I1320,3
K861,3
I341,3
A4151,3
F059,3
K920,3
B3788,3
K560,3
A490,3
S355,3
L0311,3
A491,3
K921,3
U806,3
I441,3
G8249,3
I431,3
L8918,3
N390,3
I422,3
B91,3
S3681,3
T8611,3
U6900,3
J981,3
M329,3
E274,3
J4403,3
D509,3
D6988,3
J4410,3
E1120,3
D619,3
D686,3
T855,3
C7988,3
E875,3
J81,3
J841,3
E1390,3
D500,3
T840,3
K767,2
J188,2
I472,2
J9588,2
L984,2
I071,2
M8448,2
J4401,2
M8617,2
J4412,2
I340,2
I313,2
J939,2
I1101,2
J941,2
I490,2
J181,2
M966,2
I7024,2
I7025,2
I730,2
K358,2
N083,2
M316,2
K566,2
K567,2
I650,2
K290,2
L8924,2
I792,2
J9619,2
K658,2
I509,2
I5019,2
M9078,2
K659,2
I5012,2
M351,2
M9075,2
I822,2
M8646,2
J869,2
M8616,2
A0479,2
D860,2
T841,2
D6830,2
D6834,2
D6835,2
D685,2
D693,2
D6958,2
T8420,2
T825,2
F338,2
E1160,2
E1172,2
T823,2
E1391,2
E211,2
T811,2
F018,2
T8600,2
D1803,2
C9110,2
C793,2
Z9480,2
B008,2
Z515,2
Y849,2
B909,2
B953,2
Y69,2
U8120,2
U8021,2
C509,2
C61,2
U8001,2
C774,2
C785,2
C792,2
S3683,2
G811,2
R139,2
G9780,2
G8243,2
R571,2
G832,2
O235,2
G802,2
S069,1
U601,1
M317,1
U612,1
Q644,1
N3941,1
M0739,1
T887,1
Q612,1
U8000,1
T8902,1
T8652,1
R042,1
M353,1
N393,1
T8651,1
T8581,1
M4036,1
T8578,1
T850,1
T846,1
T844,1
M4196,1
L8934,1
O860,1
Q051,1
N998,1
Z944,1
Z930,1
Z5183,1
L022,1
L120,1
O069,1
Z290,1
L271,1
Z229,1
L405,1
L8911,1
L8913,1
L8915,1
R268,1
N938,1
O85,1
N760,1
U820,1
N710,1
U81,1
U805,1
L8925,1
L8927,1
L8932,1
N419,1
N412,1
M4955,1
M4957,1
R292,1
N12,1
T814,1
N201,1
T797,1
S750,1
S7210,1
S5250,1
S4220,1
S3722,1
S061,1
N10,1
S065,1
S3640,1
S3616,1
M8955,1
S3602,1
N132,1
S353,1
S3203,1
N1783,1
N1791,1
S2783,1
S274,1
S254,1
S2242,1
S0679,1
S222,1
M9070,1
T820,1
S2206,1
M7112,1
M6208,1
M6250,1
R32,1
M6258,1
M6281,1
K9183,1
R33,1
N321,1
T8414,1
M6285,1
N298,1
M6585,1
M8415,1
M8737,1
M8445,1
T8404,1
M8607,1
M8614,1
O081,1
T835,1
N288,1
R402,1
R55,1
M8627,1
R570,1
M8668,1
O149,1
I8080,1
K914,1
F331,1
F192,1
F191,1
F151,1
F112,1
F111,1
F100,1
F050,1
F028,1
F020,1
F013,1
F002,1
E883,1
E854,1
E611,1
E539,1
E538,1
E46,1
E271,1
E232,1
F322,1
F333,1
K8590,1
F410,1
G8252,1
G8230,1
G8219,1
G8213,1
G8202,1
G810,1
G809,1
G700,1
G546,1
G510,1
G406,1
G403,1
G3510,1
G310,1
G308,1
G2581,1
G114,1
G038,1
F411,1
E1174,1
E1130,1
E1090,1
D862,1
C773,1
C770,1
C450,1
C384,1
C349,1
C343,1
C341,1
C20,1
C160,1
B966,1
B441,1
B259,1
B20,1
B199,1
B181,1
A499,1
A492,1
A418,1
A410,1
C778,1
C823,1
C830,1
D6809,1
D861,1
D849,1
D808,1
D803,1
D7019,1
D6980,1
D6828,1
D6823,1
D651,1
C831,1
D592,1
D563,1
D529,1
D474,1
D250,1
C9200,1
C9000,1
C833,1
G8253,1
G8259,1
G8262,1
J205,1
K264,1
K226,1
K121,1
J9611,1
J952,1
J851,1
J850,1
J690,1
J61,1
J4482,1
J4480,1
J4419,1
J4402,1
J4400,1
J439,1
J431,1
J410,1
J384,1
J22,1
K315,1
K3182,1
K429,1
K729,1
K8510,1
K830,1
K811,1
K8040,1
K8031,1
K766,1
K743,1
K740,1
K7279,1
K500,1
K719,1
K716,1
K702,1
K632,1
K5731,1
K5722,1
K5720,1
K550,1
J219,1
J182,1
G8265,1
I979,1
I452,1
I421,1
I418,1
I360,1
I269,1
I219,1
I209,1
I1321,1
I1310,1
I1191,1
I1190,1
I1091,1
H360,1
G948,1
G92,1
G918,1
G9129,1
G836,1
G8349,1
I460,1
I469,1
I495,1
I741,1
I8721,1
I832,1
I820,1
I8081,1
A090,1
I803,1
I8028,1
I749,1
I694,1
I5003,1
I662,1
I651,1
I639,1
I635,1
I633,1
I632,1
I631,1
I511,1
Z9481,1
