code,count
E1190,77
D648,15
E46,13
F03,10
I1190,10
N183,8
N189,8
B962,7
F101,6
I1100,6
I509,6
D649,5
N182,5
K590,5
E441,5
I652,5
J4499,4
J90,4
J9699,3
N185,3
I1090,3
E611,3
N390,3
A099,3
J189,3
J209,3
D500,3
I7020,3
J9690,3
J4489,3
J4483,3
J4481,3
K5732,3
K8020,3
F328,2
J4482,2
N1889,2
G819,2
K9188,2
I5019,2
L8904,2
I5012,2
N1792,2
J181,2
N1791,2
I859,2
L932,2
I1191,2
N1782,2
I480,2
I489,2
I5001,2
N19,2
G831,2
F059,2
E6691,2
D6961,2
D381,2
E1490,2
U81,2
D508,2
E1172,2
B956,2
Z513,2
T810,2
T888,1
T8903,1
L089,1
T844,1
T856,1
K819,1
T824,1
L8905,1
L8907,1
T814,1
K831,1
U619,1
U5030,1
U609,1
L8915,1
Z21,1
K5581,1
K529,1
Z850,1
K528,1
K521,1
K430,1
Z867,1
K420,1
K296,1
Z9480,1
L8908,1
M340,1
L8917,1
L8919,1
O458,1
O48,1
N184,1
R091,1
R104,1
R139,1
R55,1
R634,1
R730,1
R740,1
S0085,1
S3640,1
N10,1
M9075,1
M9072,1
M8787,1
S3681,1
S4229,1
M8697,1
S501,1
M8694,1
S701,1
M8687,1
M8088,1
M4856,1
T813,1
N360,1
K269,1
J22,1
J9691,1
E1161,1
D6835,1
D7014,1
D707,1
D731,1
E1121,1
E1141,1
E1151,1
E1191,1
D62,1
E1440,1
E1491,1
E538,1
E870,1
E871,1
F321,1
F329,1
D6833,1
D529,1
J9619,1
C61,1
A4152,1
A418,1
A498,1
B488,1
B967,1
C180,1
C341,1
C780,1
D509,1
C786,1
C787,1
C7988,1
C800,1
D134,1
D374,1
D382,1
F412,1
G2000,1
G510,1
J4411,1
I8720,1
J178,1
J208,1
A411,1
J439,1
J4401,1
J4409,1
J4419,1
G934,1
J4480,1
J4490,1
J4492,1
J458,1
J459,1
J81,1
J948,1
I831,1
I8280,1
I8028,1
I743,1
I1000,1
I1001,1
I1091,1
I1200,1
I200,1
I2510,1
I340,1
I482,1
I5011,1
I5014,1
I517,1
I635,1
I64,1
I7023,1
I7024,1
Z9488,1
