code,count
889110,9
8703,7
457621,7
880110,4
887211,3
889714,3
048122,2
874199,2
883850,2
451310,2
349299,2
3491,2
0040,2
891499,2
991099,2
8841,1
99B711,1
8774,1
9962,1
883840,1
992909,1
992811,1
884899,1
922422,1
990541,1
887214,1
887221,1
887951,1
9805,1
834936,1
922430,1
889710,1
773899,1
819696,1
8191,1
0042,1
009031,1
009420,1
009430,1
009910,1
009920,1
009970,1
012435,1
030935,1
030991,1
360799,1
378B22,1
380618,1
380810,1
393013,1
394920,1
397515,1
399521,1
402930,1
4524,1
5474,1
5794,1
0041,1
99B810,1
